user_id,age,location,content_liked,interest
3982,3,India,Music for Kids,Music
9097,4,UK,Music for Kids,Toys
9127,1,UK,Pet Videos,Music
8213,3,France,Toy Reviews,Toys
4656,3,UK,Pet Videos,Toys
6124,4,Canada,Cartoon Shows,Toys
1165,1,France,Music for Kids,Pets
8713,1,Japan,Toy Reviews,Cartoons
7112,3,UK,Pet Videos,Cartoons
7263,2,USA,Cartoon Shows,Music
2766,3,Germany,Music for Kids,Toys
3084,3,Canada,Toy Reviews,Music
1423,3,India,Music for Kids,Cartoons
5600,3,USA,Cartoon Shows,Music
9632,4,USA,Music for Kids,Music
5464,1,UK,Music for Kids,Toys
8421,4,India,Pet Videos,Toys
1314,4,Germany,Toy Reviews,Pets
8950,4,Germany,Pet Videos,Pets
556,3,India,Cartoon Shows,Pets
6855,2,Japan,Cartoon Shows,Pets
7638,1,India,Cartoon Shows,Music
3868,2,Canada,Pet Videos,Toys
3804,4,India,Music for Kids,Music
2166,4,South Korea,Toy Reviews,Pets
8068,2,Japan,Cartoon Shows,Cartoons
993,2,Australia,Toy Reviews,Music
3175,2,Japan,Music for Kids,Cartoons
5561,4,South Korea,Pet Videos,Music
2984,4,France,Music for Kids,Cartoons
2524,1,France,Pet Videos,Pets
4582,1,Australia,Music for Kids,Music
1388,4,India,Music for Kids,Pets
9958,2,France,Cartoon Shows,Pets
6036,2,UK,Cartoon Shows,Pets
835,1,Japan,Toy Reviews,Music
1725,4,France,Pet Videos,Music
5994,1,India,Music for Kids,Music
9331,1,Brazil,Music for Kids,Music
793,3,South Korea,Cartoon Shows,Toys
3111,3,Brazil,Music for Kids,Pets
5194,3,Japan,Pet Videos,Music
7315,2,UK,Toy Reviews,Music
1659,4,Australia,Toy Reviews,Music
9610,4,USA,Music for Kids,Music
1795,4,Germany,Music for Kids,Music
5579,4,India,Cartoon Shows,Cartoons
3846,3,Germany,Music for Kids,Pets
379,2,Japan,Pet Videos,Music
7938,2,Brazil,Music for Kids,Toys
738,3,South Korea,Cartoon Shows,Cartoons
5989,2,Japan,Pet Videos,Pets
7174,3,USA,Toy Reviews,Toys
749,4,Japan,Pet Videos,Pets
6644,3,USA,Toy Reviews,Music
1824,4,Japan,Music for Kids,Cartoons
7778,4,Japan,Cartoon Shows,Cartoons
1778,1,France,Toy Reviews,Cartoons
1778,3,Australia,Pet Videos,Music
2990,1,France,Pet Videos,Cartoons
9904,3,Germany,Music for Kids,Pets
4657,3,UK,Pet Videos,Pets
2870,1,Japan,Music for Kids,Toys
1570,1,Japan,Pet Videos,Cartoons
3233,3,USA,Pet Videos,Pets
